,n_qubits,n_layers,seed,gate_train_loss,gate_acc_train,gate_acc_test,gate_lr,mixed_train_loss,mixed_acc_train,mixed_acc_test,mixed_lr,dataset,p
130,2,20,4,0.2493218888269555,0.73,0.51,0.0477798612881091,0.2480986276667701,0.82,0.73,0.0006469573739542,digits_08,0.15
148,2,20,4,0.2495455092069371,0.5066666666666667,0.53,0.0478606472333982,0.2488196231893786,0.74,0.62,0.0007310895942156,digits_08,0.18
154,2,20,4,0.2495455092069371,0.5066666666666667,0.53,0.0478606472333982,0.2488196231893786,0.74,0.62,0.0007310895942156,digits_08,0.18
173,2,20,4,0.2497517835559586,0.5066666666666667,0.53,0.0486680303743136,0.2491219994181276,0.5533333333333333,0.58,0.0006626251057217,digits_08,0.21
179,2,20,4,0.2497517835559586,0.5066666666666667,0.53,0.0486680303743136,0.2491219994181276,0.5533333333333333,0.58,0.0006626251057217,digits_08,0.21
197,2,20,4,0.2498392002015923,0.5066666666666667,0.53,0.0486385862009528,0.2493097806672243,0.5066666666666667,0.53,0.0005936547232589,digits_08,0.24
203,2,20,4,0.2498392002015923,0.5066666666666667,0.53,0.0486385862009528,0.2493097806672243,0.5066666666666667,0.53,0.0005936547232589,digits_08,0.24
222,2,20,4,0.2498869000745992,0.5066666666666667,0.53,0.0499090851213497,0.249482527515517,0.5066666666666667,0.53,0.0005166095177571,digits_08,0.27
228,2,20,4,0.2498869000745992,0.5066666666666667,0.53,0.0499090851213497,0.249482527515517,0.5066666666666667,0.53,0.0005166095177571,digits_08,0.27
246,2,20,4,0.2499181551885498,0.5066666666666667,0.53,0.0486405728468793,0.2496034315945148,0.5066666666666667,0.53,0.0004873161325844,digits_08,0.3
252,2,20,4,0.2499181551885498,0.5066666666666667,0.53,0.0486405728468793,0.2496034315945148,0.5066666666666667,0.53,0.0004873161325844,digits_08,0.3
4,2,20,5,0.2139886097524604,0.9333333333333332,0.6,0.0193612982953358,0.2292069362208784,0.9233333333333332,0.87,0.0002942502138253,digits_08,0.0
8,2,20,5,0.2139886097524604,0.9333333333333332,0.6,0.0193612982953358,0.2292069362208784,0.9233333333333332,0.87,0.0002942502138253,digits_08,0.0
28,2,20,5,0.2520167752124523,0.8733333333333333,0.55,0.0181296245475691,0.2449442253674479,0.8933333333333333,0.85,0.0001460332108734,digits_08,0.03
32,2,20,5,0.2520167752124523,0.8733333333333333,0.55,0.0181296245475691,0.2449442253674479,0.8933333333333333,0.85,0.0001460332108734,digits_08,0.03
52,2,20,5,0.2517527713339304,0.6633333333333333,0.7,0.0487832012619811,0.2530388341649849,0.85,0.76,0.0001055682179171,digits_08,0.06
56,2,20,5,0.2517527713339304,0.6633333333333333,0.7,0.0487832012619811,0.2530388341649849,0.85,0.76,0.0001055682179171,digits_08,0.06
77,2,20,5,0.2512744029591919,0.7566666666666667,0.65,0.0469251831053716,0.2535752109601047,0.83,0.85,0.0006541878166393,digits_08,0.09
81,2,20,5,0.2512744029591919,0.7566666666666667,0.65,0.0469251831053716,0.2535752109601047,0.83,0.85,0.0006541878166393,digits_08,0.09
103,2,20,5,0.2507575459847668,0.67,0.6699999999999999,0.0434008972072283,0.2520380653503882,0.8333333333333334,0.86,0.0002833956427717,digits_08,0.12
106,2,20,5,0.2507575459847668,0.67,0.6699999999999999,0.0434008972072283,0.2520380653503882,0.8333333333333334,0.86,0.0002833956427717,digits_08,0.12
128,2,20,5,0.2503697637017267,0.5766666666666667,0.6599999999999999,0.0292106913986458,0.2518304911179881,0.8166666666666667,0.75,0.0003312541848808,digits_08,0.15
131,2,20,5,0.2503697637017267,0.5766666666666667,0.6599999999999999,0.0292106913986458,0.2518304911179881,0.8166666666666667,0.75,0.0003312541848808,digits_08,0.15
152,2,20,5,0.2503036685007604,0.53,0.5800000000000001,0.0495786153519172,0.2511497168680418,0.7966666666666666,0.73,0.0005259772562793,digits_08,0.18
155,2,20,5,0.2503036685007604,0.53,0.5800000000000001,0.0495786153519172,0.2511497168680418,0.7966666666666666,0.73,0.0005259772562793,digits_08,0.18
176,2,20,5,0.2500961491301556,0.5233333333333333,0.51,0.0149211677320539,0.2505629713736945,0.7566666666666667,0.6699999999999999,0.0010356180386738,digits_08,0.21
180,2,20,5,0.2500961491301556,0.5233333333333333,0.51,0.0149211677320539,0.2505629713736945,0.7566666666666667,0.6699999999999999,0.0010356180386738,digits_08,0.21
201,2,20,5,0.2500907005057871,0.5233333333333333,0.52,0.0452119568347948,0.2505596264516878,0.7233333333333334,0.62,0.00071346014093,digits_08,0.24
204,2,20,5,0.2500907005057871,0.5233333333333333,0.52,0.0452119568347948,0.2505596264516878,0.7233333333333334,0.62,0.00071346014093,digits_08,0.24
225,2,20,5,0.2500797628668327,0.5233333333333333,0.52,0.0372315635786551,0.2501249184646548,0.5233333333333333,0.52,0.0027466542580292,digits_08,0.27
229,2,20,5,0.2500797628668327,0.5233333333333333,0.52,0.0372315635786551,0.2501249184646548,0.5233333333333333,0.52,0.0027466542580292,digits_08,0.27
250,2,20,5,0.2500524286338332,0.5233333333333333,0.52,0.0141230849073143,0.2502950796416728,0.5233333333333333,0.52,0.0001270356269295,digits_08,0.3
253,2,20,5,0.2500524286338332,0.5233333333333333,0.52,0.0141230849073143,0.2502950796416728,0.5233333333333333,0.52,0.0001270356269295,digits_08,0.3
15,2,20,0,0.1173108575635601,0.9333333333333332,0.5142857142857142,0.0360337718020692,0.0924719499871741,0.9333333333333332,0.7428571428571429,0.0001792949716803,iris,0.0
18,2,20,0,0.1173108575635601,0.9333333333333332,0.5142857142857142,0.0360337718020692,0.0924719499871741,0.9333333333333332,0.7428571428571429,0.0001792949716803,iris,0.0
36,2,20,0,0.2449329813728655,0.9,0.5714285714285714,0.0492283329479375,0.2221816074773684,0.9333333333333332,0.8857142857142857,0.0001939040140595,iris,0.03
42,2,20,0,0.2449329813728655,0.9,0.5714285714285714,0.0492283329479375,0.2221816074773684,0.9333333333333332,0.8857142857142857,0.0001939040140595,iris,0.03
60,2,20,0,0.2486849538428263,0.8,0.5571428571428572,0.0499681675655028,0.2431331198119968,0.9666666666666668,0.8285714285714286,0.0003073292983039,iris,0.06
66,2,20,0,0.2486849538428263,0.8,0.5571428571428572,0.0499681675655028,0.2431331198119968,0.9666666666666668,0.8285714285714286,0.0003073292983039,iris,0.06
85,2,20,0,0.2492464725848236,0.7333333333333333,0.5714285714285714,0.0499920588209374,0.2465094632396915,0.9333333333333332,0.8428571428571429,0.0002959310207171,iris,0.09
91,2,20,0,0.2492464725848236,0.7333333333333333,0.5714285714285714,0.0499920588209374,0.2465094632396915,0.9333333333333332,0.8428571428571429,0.0002959310207171,iris,0.09
110,2,20,0,0.2495664480736875,0.6333333333333333,0.6285714285714286,0.0498016710290076,0.2479099875882239,0.9333333333333332,0.8285714285714286,0.0005970351556136,iris,0.12
116,2,20,0,0.2495664480736875,0.6333333333333333,0.6285714285714286,0.0498016710290076,0.2479099875882239,0.9333333333333332,0.8285714285714286,0.0005970351556136,iris,0.12
135,2,20,0,0.2497234674825486,0.6,0.6714285714285714,0.0495893714782527,0.2486358585345267,0.9333333333333332,0.8428571428571429,0.000582935874447,iris,0.15
141,2,20,0,0.2497234674825486,0.6,0.6714285714285714,0.0495893714782527,0.2486358585345267,0.9333333333333332,0.8428571428571429,0.000582935874447,iris,0.15
159,2,20,0,0.2498312472679781,0.6,0.6142857142857143,0.0496705510259716,0.249020519645474,0.8666666666666667,0.8,0.0006754033379628,iris,0.18
165,2,20,0,0.2498312472679781,0.6,0.6142857142857143,0.0496705510259716,0.249020519645474,0.8666666666666667,0.8,0.0006754033379628,iris,0.18
